Episode 520, Reward: 172.8, Epsilon: 0.073
Episode 521, Reward: 260.8, Epsilon: 0.073
Episode 522, Reward: 262.0, Epsilon: 0.073
Episode 523, Reward: 210.7, Epsilon: 0.072
Episode 524, Reward: 146.0, Epsilon: 0.072
Episode 525, Reward: 128.8, Epsilon: 0.072
Episode 526, Reward: 254.4, Epsilon: 0.071
Episode 527, Reward: 111.9, Epsilon: 0.071
Episode 528, Reward: 238.0, Epsilon: 0.071
Episode 529, Reward: 56.7, Epsilon: 0.070
Episode 530, Reward: 111.6, Epsilon: 0.070
Episode 531, Reward: 257.5, Epsilon: 0.069
Episode 532, Reward: 140.8, Epsilon: 0.069
Episode 533, Reward: 218.2, Epsilon: 0.069
