Episode 274, Reward: 43.5, Epsilon: 0.252
Episode 275, Reward: -7.2, Epsilon: 0.251
Episode 276, Reward: -27.7, Epsilon: 0.249
Episode 277, Reward: -52.1, Epsilon: 0.248
Episode 278, Reward: -94.1, Epsilon: 0.247
Episode 279, Reward: 142.1, Epsilon: 0.246
Episode 280, Reward: -61.0, Epsilon: 0.245
Episode 281, Reward: 81.4, Epsilon: 0.243
Episode 282, Reward: 253.3, Epsilon: 0.242
Episode 283, Reward: 86.1, Epsilon: 0.241
Episode 284, Reward: -83.6, Epsilon: 0.240
Episode 285, Reward: 108.4, Epsilon: 0.238
Episode 286, Reward: -93.4, Epsilon: 0.237
Episode 287, Reward: 102.5, Epsilon: 0.236
Episode 288, Reward: -100.8, Epsilon: 0.235
Episode 289, Reward: -41.8, Epsilon: 0.234
Episode 290, Reward: -70.0, Epsilon: 0.233
Episode 291, Reward: -45.7, Epsilon: 0.231
Episode 292, Reward: -46.5, Epsilon: 0.230
Episode 293, Reward: 152.7, Epsilon: 0.229
Episode 294, Reward: 56.1, Epsilon: 0.228
Episode 295, Reward: 223.3, Epsilon: 0.227
Episode 296, Reward: -46.6, Epsilon: 0.226
Episode 297, Reward: 235.8, Epsilon: 0.225
Episode 298, Reward: -52.9, Epsilon: 0.223
Episode 299, Reward: 40.1, Epsilon: 0.222
Evaluation: -83.1
New best model saved!
Episode 300, Reward: 85.5, Epsilon: 0.221
Episode 301, Reward: 43.2, Epsilon: 0.220
Episode 302, Reward: -116.5, Epsilon: 0.219
Episode 303, Reward: 68.6, Epsilon: 0.218
Episode 304, Reward: 136.4, Epsilon: 0.217
Episode 305, Reward: 176.2, Epsilon: 0.216
Episode 306, Reward: 125.2, Epsilon: 0.215
Episode 307, Reward: -43.3, Epsilon: 0.214
Episode 308, Reward: -104.0, Epsilon: 0.212
Episode 309, Reward: -77.2, Epsilon: 0.211
Episode 310, Reward: -92.2, Epsilon: 0.210
Episode 311, Reward: -81.7, Epsilon: 0.209
Episode 312, Reward: -109.6, Epsilon: 0.208
Episode 313, Reward: 120.5, Epsilon: 0.207
Episode 314, Reward: 24.8, Epsilon: 0.206
Episode 315, Reward: 107.0, Epsilon: 0.205
Episode 316, Reward: -22.3, Epsilon: 0.204
Episode 317, Reward: 43.8, Epsilon: 0.203
Episode 318, Reward: 138.8, Epsilon: 0.202
Episode 319, Reward: -64.2, Epsilon: 0.201
Episode 320, Reward: -91.7, Epsilon: 0.200
Episode 321, Reward: 9.3, Epsilon: 0.199
Episode 322, Reward: -214.5, Epsilon: 0.198
Episode 323, Reward: 92.4, Epsilon: 0.197
Episode 324, Reward: 197.9, Epsilon: 0.196
Episode 325, Reward: 170.9, Epsilon: 0.195
Episode 326, Reward: 114.1, Epsilon: 0.194
Episode 327, Reward: 233.6, Epsilon: 0.193
Episode 328, Reward: 126.2, Epsilon: 0.192
Episode 329, Reward: 146.6, Epsilon: 0.191
Episode 330, Reward: 102.5, Epsilon: 0.190
Episode 331, Reward: 209.7, Epsilon: 0.189
Episode 332, Reward: 67.4, Epsilon: 0.188
Episode 333, Reward: 229.9, Epsilon: 0.187
Episode 334, Reward: 28.7, Epsilon: 0.187
Episode 335, Reward: -178.8, Epsilon: 0.186
Episode 336, Reward: 205.3, Epsilon: 0.185
Episode 337, Reward: 42.6, Epsilon: 0.184
Episode 338, Reward: 227.1, Epsilon: 0.183
Episode 339, Reward: -127.1, Epsilon: 0.182
Episode 340, Reward: 244.5, Epsilon: 0.181
Episode 341, Reward: 36.2, Epsilon: 0.180
Episode 342, Reward: 98.3, Epsilon: 0.179
Episode 343, Reward: 215.7, Epsilon: 0.178
Episode 344, Reward: -141.2, Epsilon: 0.177
Episode 345, Reward: 226.8, Epsilon: 0.177
Episode 346, Reward: 147.8, Epsilon: 0.176
Episode 347, Reward: -97.7, Epsilon: 0.175
Episode 348, Reward: -39.0, Epsilon: 0.174
Episode 349, Reward: 121.7, Epsilon: 0.173
Episode 350, Reward: 101.2, Epsilon: 0.172
Episode 351, Reward: -88.0, Epsilon: 0.171
Episode 352, Reward: -181.6, Epsilon: 0.170
Episode 353, Reward: -4.1, Epsilon: 0.170
Episode 354, Reward: 252.4, Epsilon: 0.169
Episode 355, Reward: 24.8, Epsilon: 0.168
Episode 356, Reward: 267.2, Epsilon: 0.167
Episode 357, Reward: 135.7, Epsilon: 0.166
Episode 358, Reward: 126.2, Epsilon: 0.165
Episode 359, Reward: 242.3, Epsilon: 0.165
Episode 360, Reward: 93.0, Epsilon: 0.164
Episode 361, Reward: -71.5, Epsilon: 0.163
Episode 362, Reward: 86.6, Epsilon: 0.162
Episode 363, Reward: 256.0, Epsilon: 0.161
Episode 364, Reward: 73.3, Epsilon: 0.160
Episode 365, Reward: 221.0, Epsilon: 0.160
Episode 366, Reward: 259.7, Epsilon: 0.159
Episode 367, Reward: 256.8, Epsilon: 0.158
Episode 368, Reward: -0.5, Epsilon: 0.157
Episode 369, Reward: 173.6, Epsilon: 0.157
Episode 370, Reward: -81.5, Epsilon: 0.156
Episode 371, Reward: 124.9, Epsilon: 0.155
Episode 372, Reward: 185.7, Epsilon: 0.154
